"interv","week","NImpute","Estimate","StdErr","LCLMean","UCLMean","DF","Min","Max"
"ADF",1,52,44.72,3.43,38.00,51.44,2542.2,41.98,46.85
"ADF",12,52,51.96,3.53,45.04,58.88,1417.8,48.59,54.94
"ADF",24,52,52.89,4.91,43.18,62.60,150.29,45.69,59.44
"ADF",36,52,53.93,5.07,43.91,63.96,137.94,45.32,61.89
"ADF",48,52,53.10,4.72,43.79,62.41,170.52,44.80,59.00
"CON",1,52,42.48,3.85,34.92,50.04,795.63,38.05,45.67
"CON",12,52,48.17,3.90,40.52,55.81,700.44,43.91,53.07
"CON",24,52,49.57,4.83,40.04,59.10,185.02,41.87,56.52
"CON",36,52,53.60,4.71,44.30,62.89,202.92,47.41,60.19
"CON",48,52,47.47,4.66,38.27,56.66,211.99,41.10,54.21
"CR",1,52,45.81,3.23,39.48,52.14,13954,44.30,47.21
"CR",12,52,52.63,3.45,45.85,59.40,1606.8,50.37,55.27
"CR",24,52,54.98,4.93,45.23,64.74,142.96,47.26,63.06
"CR",36,52,55.68,4.11,47.59,63.77,289.36,50.76,61.51
"CR",48,52,51.14,4.46,42.34,59.95,197.58,44.37,58.99

